5261,abad,アバ###(ド)###
6144,abad pertengahan,アバ###(ド)### プ###ル###トゥン###(グ)###アハン
963,abadi,アバディ
9185,abah,アバー
9186,abai,アバイ
9187,abaikan,アバイカン
359,abalon,アバロン
4004,abang,アバン###(グ)###
17960,abdi,ア###ブ###ディ
17961,abdi dalem,ア###ブ###ディ ダル###ム###
9190,abjad,ア###ブ###ジャ###(ド)###
491,abnormal,ア###ブ###ノ###ル###マ###ル###
5325,absah,ア###ブ###サー
8720,absén,ア###ブ###セン
7819,absénsi,ア###ブ###センスィ
2275,abstain,ア###ブ######ス###タイン
6136,abstrak,ア###ブ######ス######ト###ラッ
6138,abstraksi,ア###ブ######ス######ト###ラ###ク###スィ
7220,abu,アブ
2907,abu abu,アブ アブ
958,AC,アーセー
6218,acak acakan,アチャッ アチャカン
7565,acar,アチャル
656,acara,アチャラ
9192,acuan,アチュアン
8494,acuh,アチュー
336,ada,アダ
1259,ada kekuatiran,アダ ククアティラン
897,ada tidaknya,アダ ティダッニャ
9195,adab,アダ###(ブ)###
335,adakah,アダカー
9196,adakalanya,アダカラニャ
9197,adakan,アダカン
9198,adalah,アダラー
9200,adanya,アダニャ
4649,adaptasi,アダ###プ###タスィ
619,adapun,アダプン
7754,adat,アダ###(ト)###
7432,adegan,アドゥガン
9202,Adik,アディッ
9201,adik,アディッ
1289,adik laki laki,アディッ ラキ ラキ
675,adik perempuan,アディッ プルンプアン
3378,adil,アディ###ル###
9205,adili,アディリ
9206,adinda,アディンダ
2306,adonan,アドナン
9207,adu,アドゥ
9208,aduan,アドゥアン
9209,aduk,アドゥッ
7796,advérbia,ア###(ド)###フェ###ル###ビア
3017,afiliasi,アフィリアスィ
263,Afrika,ア###フ###リカ
2417,agak,アガッ
9211,agaknya,アガッニャ
4463,agama,アガマ
7851,agama Buddha,アガマ ブッダ
7723,agama Hindu,アガマ ヒンドゥ
502,agama Islam,アガマ イ###ス###ラ###ム###
2656,agama Kristen,アガマ ###ク###リ###ス###トゥン
9213,agar,アガル
5801,agén,アゲン
9214,agénda,アゲンダ
9215,agénsi,アゲンスィ
5023,agrési,ア###グ###レスィ
6344,agrésif,ア###グ###レスィ###フ###
5586,agung,アグン###(グ)###
7356,Agustus,アグ###ス###トゥ###ス###
9218,ah,アー
9219,Ahad,アハ###(ド)###
2915,ahli,アーリ
9221,ahli bedah,アーリ ブダー
9223,ahli dérmatologi,アフリ デ###ル###マトロギ
1044,ahli mesin,アーリ ムスィン
7317,aib,アイ###(ブ)###
979,AIDS,エイズ
8418,air,アイル
9235,air bah,アイル バー
9237,air bawah tanah,アイル バワー タナー
9238,air berkarbonat,アイル ブ###ル###カ###ル###ボナ###(ト)###
9239,air besar,アイル ブサル
9241,air kecil,アイル クチ###ル###
4762,air kemih,アイル クミー
19000,air kencing,アイル クンチン###(グ)###
5073,air keran,アイル クラン
1507,air laut,アイル ラウ###(ト)###
5074,air lédeng,アイル レドゥン###(グ)###
7224,air limbah,アイル リンバー
8889,air liur,アイル リウル
7969,air mancur,アイル マンチュル
6929,air mata,アイル マタ
8460,air mineral,アイル ミヌラ###ル###
